State_city,Mapping
"WV,MORGANTOWN",622
"WV,PARKERSBURG",623
"WV,PETERSBURG",624
"WV,ROMNEY",625
"WV,WHEELING",626
"WI,BELOIT",627
"WI,EAU CLAIRE",628
"WI,GREEN BAY",629
"WI,KENOSHA",630
"WI,LA CROSSE",631
"WI,LANCASTER",632
"WI,MADISON",633
"WI,MILWAUKEE",634
"WI,NEW RICHMOND",635
"WI,OSHKOSH",636
"WI,PORTAGE",637
"WI,RACINE",638
"WI,RHINELANDER",639
"WI,SUPERIOR",640
"WI,WAUSAU",641
"WY,CASPER",642
"WY,CHEYENNE",643
"WY,NEWCASTLE",644
"WY,RAWLINS",645
"WY,RIVERTON",646
"WY,ROCK SPRINGS",647
"WY,SHERIDAN",648
"WY,WHEATLAND",649
"WY,WORLAND",650
"WY,YELLOWSTONE NAT'L PA",651
